Absurdität,absurd
Bereicherung,wzbogacenie
Chaos,chaos
Dilemma,dylemat
Euphorie,euforia
Faszination,fascynacja
Gleichgültigkeit,obojętność
Hypothese,hipoteza
Ironie,ironia
Jargon,żargon
Komplexität,złożoność
Loyalität,lojalność
Melancholie,melancholia
Nuance,niuans
Optimismus,optymizm
Paradoxon,paradoks
Quintessenz,kwintesencja
Rationalität,racjonalność
Sarkasmus,sarkazm
Tragödie,tragedia
Utopie,utopia
Vision,wizja
Widerstand,opór
Xenophobie,ksenofobia
Zynismus,cynizm
Authentizität,autentyczność
Brillanz,blask
Charisma,charyzma
Dynamik,dynamika
Ekstase,ekstaza
Frustration,frustracja
Gnade,łaska
Harmonie,harmonia
Intuition,intuicja
Jubiläum,rocznica
Kontroverse,kontrowersja
Legitimität,legitymizacja
Mystik,mistyka
Nostalgie,nostalgia
Obsession,obsesja
Pragmatismus,pragmatyzm
Qualität,jakość
Resilienz,odporność
Synergie,synergia
Transzendenz,transcendencja
Unschuld,niewinność
Vitalität,witalność
Zenit,zenit
Apokalypse,apokalipsa
Bürokratie,biurokracja
Chronologie,kronologia
Despotismus,despotyzm
Exzentrik,ekscentryczność
Genialität,genialność
Humanismus,humanizm
Idiosynkrasie,idiosynkrazja
Juxtaposition,juxtapozycja
Konvergenz,konwergencja
Labyrinth,labirynt
Metamorphose,metamorfoza
Nuance,niuans
Orthodoxie,ortodoksja
Polarität,polarność
Querulant,querulant
Resonanz,rezonans
Sophistik,sophistyka
Tabu,tabu
Unilateralismus,unilateralizm
Verisimilitude,prawdopodobieństwo
Wanderlust,wędrowność
Zen,zazen
Ambivalenz,ambiwelencja
Belagerung,oblężenie
Chronik,kronika
Destruktivität,destruktywność
Eklektizismus,eklektyzm
Freudianismus,freudyzm
Gnostizismus,gnostycyzm
Heuristik,heurystyka
Isolation,izolacja
Jargon,żargon
Kognitivismus,kognitywizm
Liberalismus,liberalizm
Misanthropie,mizantropia
Nihilismus,nihilizm
Omnipräsenz,wszechobecność
Paradigma,paradigma
Quintessenz,kwintesencja
Regression,regresja
Surrealismus,surrealizm
Totalitarismus,totalitaryzm
Utilitarismus,utylitaryzm
Vorurteil,uprzedzenie
Weltanschauung,światopogląd
Xenophilie,ksenofilia
