moustique,komar
grenouille,żaba
écureuil,wiewiórka
curieux,ciekawski
étonnant,zadziwiający
véritable,prawdziwy
prétendre,twierdzić
réfléchir,zastanawiać się
épanouir,rozkwitać
évidence,oczywistość
intriguant,intrygujący
subtil,subtelny
divertissement,rozrywka
bénéfice,korzyść
citoyen,obywatel
décennie,dekada
séquoia,sekwoja
lavande,lawenda
brochure,broszura
récolte,żniwa
ferme,gospodarstwo
dévouement,poświęcenie
camaraderie,koleżeństwo
artisan,rzemieślnik
couturier,krawiec
écharpe,szalik
gilet,kamizelka
légendaire,legendarny
anecdote,anegdota
mélodie,melodia
harmonie,harmonia
archipel,archipelag
isthme,przesmyk
péninsule,półwysep
grimoire,księga czarów
magnolia,magnolia
tulipe,tulipan
orchidée,storczyk
bourdon,truć
marais,bagno
estuaire,ujście rzeki
crépuscule,zmierzch
aurore,świt
créatif,twórczy
métaphore,metafora
ironie,ironia
ellipse,elipsa
synonyme,synonim
antonyme,antonim
parabole,przypowieść
satire,satyra
fable,bajka
allégorie,allegoria
labyrinthe,labirynt
énigme,łamigłówka
philosophie,filozofia
psychologie,psychologia
neurologie,neurologia
rhétorique,retoryka
éthique,etyka
hypothèse,hipoteza
conséquence,skutek
critère,kryterium
variable,zmienna
catégorie,kategoria
corrélation,korelacja
tendance,tendencja
analyse,analiza
séquence,sekwencja
complexe,złożony
élémentaire,podstawowy
transition,przejście
paradigme,paradygmat
intermédiaire,pośrednik
synthèse,synteza
interprétation,interpretacja

