bridge,most
grape,winogrono
elephant,słoń
butterfly,motyl
ocean,ocean
mountain,góra
sky,niebo
forest,las
river,rzeka
sun,słońce
moon,księżyc
star,gwiazda
street,ulica
car,samochód
bus,autobus
train,pociąg
airplane,samolot
boat,łódź
bike,rower
computer,komputer
keyboard,klawiatura
mouse,mysz
screen,ekran
phone,telefon
table,stół
chair,krzesło
window,okno
door,drzwi
roof,dach
wall,ściana
garden,ogród
flower,kwiat
tree,drzewo
grass,trawa
cloud,chmura
rain,deszcz
snow,śnieg
storm,burza
thunder,grzmot
lightning,błyskawica
winter,zima
spring,wiosna
summer,lato
autumn,jesień
city,miasto
village,wsie
beach,plaża
island,wyspa
continent,kontynent
ocean,ocean
sea,morze
lake,jezioro
pond,staw
hill,wzgórze
valley,dolina
desert,pustynia
jungle,dżungla
pen,pióro
book,książka
paper,papier
scissors,nożyczki
bag,torba
shoes,buty
hat,czapka
shirt,koszula
pants,spodnie
dress,sukienka
blouse,bluzka
jacket,kurtka
watch,zegarek
glasses,okulary
necklace,naszyjnik
earrings,kolczyki
bracelet,bransoletka
ring,pierścionek
wallet,portfel
purse,torebka
umbrella,parasol
picture,obraz
camera,aparat
paintbrush,pędzel
instrument,instrument
ball,piłka
toy,zabawka
game,gra
player,gracz
team,drużyna
score,wynik
win,zwycięstwo
lose,przegrana
draw,remis
