Il a un _(samochód),voiture
Elle aime porter une _(sukienka),robe
J'ai mangé une _(jabłko),pomme
Mon père travaille comme _(lekarz),médecin
Nous avons visité la _(góra),montagne pendant nos vacances
Elle a un joli _(kapelusz),chapeau
Je veux acheter ce _(zegarek),montre
Il lit un _(książka),livre intéressant
Ils jouent au _(piłka nożna),football tous les weekends
Elle boit du _(mleko),lait tous les matins
J'ai perdu mes _(klucze),clés
Nous aimons nager dans la _(morze),mer pendant l'été
Il vend son _(rower),vélo
Elle écoute de la _(muzyka),musique classique
Je déteste attendre le _(autobus),bus
Il a un _(komputer),ordinateur moderne
Elle utilise un _(telefon),téléphone pour appeler sa mère
Nous regardons un _(film),film ce soir
J'ai un nouveau _(buty),chaussures
Elle a acheté un _(chleb),pain à la boulangerie
Il fait du _(bieganie),course tous les jours
Nous allons au _(kino),cinéma ce weekend
Elle aime le _(kolor),couleur bleu
J'ai pris le _(pociąg),train pour Paris
Il a un _(kot),chat noir
Elle a une _(siostra),sœur et deux frères
Nous avons un grand _(dom),maison
Je cherche mon _(ołówek),crayon
Il veut une _(piwo),bière
Elle prend un _(kawa),café le matin
Nous allons à la _(szkoła),école tous les jours
Il aime manger du _(kurczak),poulet
Elle dort sur un _(łóżko),lit
J'ai un _(brat),frère
Elle conduit une _(motocykl),moto
Nous avons un _(telewizor),téléviseur
Je ne mange pas de _(mięso),viande
Il boit un _(woda),eau
Elle a un _(plecak),sac à dos
Nous aimons le _(lato),été
Je veux une _(sok),jus
Il a un _(okulary),lunettes
Elle a un _(zegar),horloge
Nous avons un _(ogród),jardin
Je prends un _(prysznic),douche tous les jours
Il aime le _(deszcz),pluie
Elle regarde par la _(okno),fenêtre
Nous avons un _(piec),four
Je porte un _(koszula),chemise
Il a un _(spodnie),pantalon
Elle porte des _(kolczyki),boucles d'oreilles
Nous allons au _(teatr),théâtre
Je n'aime pas le _(śnieg),neige
Il a un _(księżyc),lune
Elle aime la _(słońce),soleil
Nous avons un _(samolot),avion
Je suis _(chory),malade
Il a une _(gorączka),fièvre
Elle a mal à la _(głowa),tête
Nous avons un _(aparat),appareil photo
Je suis _(zmęczony),fatigué
Il est _(smutny),triste
Elle est _(szczęśliwy),heureuse
Nous sommes _(zajęty),occupés
Je suis _(głodny),faim
Il est _(spragniony),soif
Elle est _(zły),en colère
Nous sommes _(zaniepokojony),inquiet
Je suis _(wesoły),joyeux
Il est _(zadowolony),content
Elle est _(zmartwiony),soucié
Nous sommes _(zrelaksowany),détendu
Je suis _(przestraszony),effrayé
Il est _(rozdrażniony),agacé
Elle est _(zdziwiony),surpris
Nous sommes _(zdezorientowany),désorienté
Je suis _(zszokowany),choqué
Il est _(rozczarowany),déçu
Elle est _(zaintrygowany),intrigué
Nous sommes _(zainfekowany),infecté
Je suis _(zamrożony),gelé
Il est _(rozgrzany),chaud
Elle est _(zmrożony),froid
Nous sommes _(zakochany),amoureux
Je suis _(zainspirowany),inspiré
Il est _(zrelaksowany),relaxé
Elle est _(zdenerwowany),nervé
Nous sommes _(zaciekawiony),curieux
Je suis _(zażenowany),embarrassé
Il est _(zirytowany),irrité
Elle est _(zachwycony),ravi
Nous sommes _(zaangażowany),engagé
Je suis _(zszokowany),choqué
Il est _(zadowolony),satisfait
