L'_(bliskość) de ces deux objets est frappante.,proximité
Il a une _(zdolność) innée pour la musique.,aptitude
La _(zmiennność) du climat est très évidente ici.,variabilité
Son _(upór) peut parfois être agaçant.,obstination
Il faut avoir une _(wiedza) approfondie pour comprendre cela.,connaissance
L'artiste a une grande _(wrażliwość) émotionnelle.,sensibilité
La _(rywalizacja) entre les deux équipes était intense.,rivalité
Elle a montré une grande _(odwaga) face au danger.,bravoure
C'est une question de _(lojalność).,loyauté
La _(intuicja) m'a dit que quelque chose n'allait pas.,intuition
Son _(niepokój) était palpable.,anxiété
La _(zmienność) de ses humeurs est difficile à gérer.,versatilité
Il est connu pour sa _(pomysłowość).,ingéniosité
La _(złożoność) de ce problème est élevée.,complexité
L'animal montrait des signes de _(niepokój).,agitation
Elle a une belle _(harmonia) vocale.,harmonie
Il est essentiel d'avoir de la _(cierpliwość).,patience
La _(pewność) de ses actions inspire les autres.,certitude
La _(zmienność) des prix a surpris tout le monde.,fluctuation
Il a la _(zdolność) de voir les détails minuscules.,capacité
L'_(nieśmiałość) est parfois considérée comme une vertu.,timidité
Leur _(równość) est impressionnante.,équité
Il faut une _(odwaga) immense pour faire cela.,audace
Son _(nietolerancja) à la critique est bien connue.,intolérance
La _(jedność) de l'équipe a été la clé du succès.,unité
Il est essentiel de maintenir la _(_stabilność).,stabilité
Son _(nierealizm) est parfois frustrant.,idéalisme
La _(różnorodność) de la faune est incroyable ici.,diversité
L'_(autentyzm) de ce document est en question.,authenticité
La _(zależność) est un sujet sensible.,dépendance
Il est reconnu pour sa grande _(szerokość) d'esprit.,largesse
Sa _(skłonność) à exagérer est bien connue.,propension
La _(prawdziwość) de ses paroles est indiscutable.,vérité
L'_(kumulacja) des problèmes a conduit à la crise.,accumulation
Il a une _(wrażliwość) à la lumière.,sensibilité
Elle a montré une _(nieugiętość) remarquable.,résilience
La _(kolejność) des événements est cruciale.,séquence
Sa _(wierność) au poste était admirable.,fidélité
Il a une _(pamięć) photographique.,mémoire
La _(jednolitość) de leur culture est impressionnante.,uniformité
La _(odporność) du matériau est testée.,résistance
La _(niezawodność) de cette machine est prouvée.,fiabilité
L'_(nieśmiałość) de l'enfant est évidente.,timidité
Il est connu pour son _(prostota).,simplicité
La _(wydajność) de cette technique est discutée.,efficacité
La _(swoboda) de mouvement est essentielle.,liberté
Son _(charakter) est en question.,intégrité
Il y a une _(różnorodność) d'opinions.,diversité
La _(trwałość) de ce produit est garantie.,durabilité
L'_(zgodność) des témoignages est frappante.,concordance
L'_(absurd) de cette situation est évident.,absurdité
La _(precyzja) de ses observations est remarquable.,précision
Sa _(wewnętrzność) est parfois un défi.,introspection
La _(przewidywalność) de son comportement est rassurante.,prévisibilité
La _(oryginalność) de son œuvre est reconnue.,originalité
Sa _(skuteczność) est impressionnante.,efficience
Leur _(solidarność) a été la clé de leur succès.,solidarité
Il faut une _(kreatywność) immense pour créer cela.,créativité
La _(czułość) du détecteur est haute.,sensibilité
L'_(aktywność) du volcan a augmenté.,activité
Sa _(determinacja) est impressionnante.,détermination
L'_(spontaniczność) de sa réaction était visible.,spontanéité
La _(przemyślność) est l'une de ses grandes qualités.,réflexion
Il a une grande _(niezależność) d'esprit.,indépendance
Son _(współczucie) pour les autres est bien connu.,compassion
La _(subtelność) de la situation nécessite de la prudence.,subtilité
L'_(nieokreśloność) du résultat est stressante.,incertitude
La _(intensywność) de sa passion est palpable.,intensité
Il a une _(zdolność) naturelle à communiquer.,habileté
L'_(obszerność) de ce livre le rend difficile à lire.,ampleur
La _(powtarzalność) de cette expérience est essentielle.,répétabilité
L'_(wewnętrzność) du bâtiment est magnifique.,intérieur
La _(zaawansowanie) de cette technologie est impressionnante.,avancée
Il faut une _(skoncentrowanść) totale pour cela.,concentration
La _(płynność) de ses mouvements est admirable.,fluidité
La _(moc) de ce moteur est incroyable.,puissance
L'_(uczciwość) est toujours la meilleure politique.,honnêteté
Son _(niepewność) était visible à tous.,incertitude
La _(pochwała) du public était écrasante.,ovation
L'_(skomplikowanie) de cette machine est impressionnante.,complexité
Sa _(nieśmiałość) est parfois un obstacle.,timidité
La _(ekscytacja) du moment était palpable.,excitation
Il faut avoir une _(dyscyplina) de fer pour réussir.,discipline
L'_(obfitość) de la nourriture était impressionnante.,abondance
Il est reconnu pour sa grande _(empatia).,empathie
