Haus,dom
Hund,pies
Katze,kot
Apfel,jabłko
Buch,książka
Auto,samochód
Fahrrad,rower
Tisch,stół
Stuhl,krzesło
Tür,drzwi
Fenster,okno
Licht,światło
Stadt,miasto
Frau,kobieta
Mann,mężczyzna
Kind,dziecko
Schule,szkoła
Lehrer,nauczyciel
Student,student
Krankenhaus,szpital
Arzt,lekarz
Polizist,policjant
Restaurant,restauracja
Bank,bank
Geschäft,sklep
Bibliothek,biblioteka
Schuh,but
Kleid,sukienka
Hut,kapelusz
Brille,okulary
Computer,komputer
Telefon,telefon
Musik,muzyka
Film,film
spielen,grać
schlafen,spać
essen,jeść
trinken,pić
sehen,widzieć
hören,słyszeć
sprechen,mówić
gehen,chodzić
laufen,biegać
lachen,śmiać się
weinen,płakać
groß,duży
klein,mały
schnell,szybki
langsam,wolny
heiß,ciepły
kalt,zimny
gut,dobry
schlecht,zły
alt,stary
jung,młody
schön,piękny
hässlich,brzydki
hoch,wysoki
niedrig,niski
weit,daleko
nah,blisko
Tag,dzień
Nacht,noc
Morgen,ranek
Abend,wieczór
gestern,wczoraj
heute,dziś
morgen,jutro
jetzt,teraz
nie,nigdy
manchmal,czasami
oft,często
immer,zawsze
Baum,drzewo
Blume,kwiat
Vogel,ptak
Fisch,ryba
Sonne,słońce
Mond,księżyc
Stern,gwiazda
Wasser,woda
Milch,mleko
Hose,spodnie
Hemd,koszula
Jacke,kurtka
Uhr,zegarek
Glas,szkło
Flasche,butelka
Papier,papier
Stift,długopis
Bleistift,ołówek
Buch,książka
Regenschirm,parasol
