chat,kot
chien, pies
maison,dom
livre,książka
ami,przyjaciel
pomme,jabłko
eau,woda
soleil,słońce
lune,księżyc
arbre,drzewo
fleur,kwiat
oiseau,ptak
poisson,ryba
montagne,góra
plage,plaża
ciel,niebo
étoile,gwiazda
fromage,ser
pain,chleb
voiture,samochód
vélo,rower
table,stół
chaise,krzesło
porte,drzwi
fenêtre,okno
lumière,światło
ville,miasto
femme,kobieta
homme,mężczyzna
enfant,dziecko
école,szkoła
professeur,nauczyciel
étudiant,student
hôpital,szpital
médecin,lekarz
policier,policjant
restaurant,restauracja
banque,bank
magasin,sklep
bibliothèque,biblioteka
chaussure,but
robe,sukienka
chapeau,czapka
lunettes,okulary
ordinateur,komputer
téléphone,telefon
musique,muzyka
film,film
jouer,grać
dormir,spać
manger,jeść
boire,pić
voir, widzieć
entendre,słyszeć
parler,mówić
marcher,chodzić
courir,biegać
rire,śmiać się
pleurer,płakać
grand,duży
petit,mały
rapide,szybki
lent,wolny
chaud,ciepły
froid,zimny
bon,dobry
mauvais,zły
vieux,stary
jeune,młody
beau,piękny
laide,brzydki
haut,wysoki
bas,niski
loin,daleko
proche,blisko
jour,dzień
nuit,noc
matin,ranek
soir,wieczór
hier,wczoraj
aujourd'hui,dziś
demain,jutro
maintenant,teraz
jamais,nigdy
parfois,czasami
souvent,często
toujours,zawsze
