Il a un _(samochód),voiture
Elle mange une _(jabłko),pomme
Le _(kot) dort sur le canapé,chat
Le _(pies) aboie, chien
Je bois de l'_(woda),eau
Le _(słońce) brille,soleil
La _(księżyc) est belle ce soir,lune
Il y a une _(kwiat) dans le jardin,fleur
J'entends un _(ptak) chanter,oiseau
Les _(ryby) sont dans l'aquarium,poissons
La _(góra) est très haute,montagne
Nous allons à la _(plaża) aujourd'hui,plage
Le _(niebo) est bleu,ciel
J'adore manger du _(ser),fromage
Je vais acheter du _(chleb),pain
Il conduit sa _(samochód) très vite,voiture
Je veux un nouveau _(rower),vélo
Posez cela sur la _(stół),table
Où est ma _(krzesło)?,chaise
Ne fermez pas la _(drzwi),porte
Ouvre la _(okno),fenêtre
Allume la _(światło),lumière
Paris est une grande _(miasto),ville
La _(kobieta) est belle,femme
L'_(mężczyzna) est fort,homme
Un _(dziecko) rit,enfant
Les enfants vont à l'_(szkoła),école
Le _(nauczyciel) enseigne,professeur
Je suis _(student),étudiant
L'_(szpital) est près d'ici,hôpital
Mon _(lekarz) est très gentil,médecin
Le _(policjant) patrouille,policier
Nous dînons dans ce _(restauracja),restaurant
J'ai besoin d'aller à la _(bank),banque
Où est le plus proche _(sklep)?,magasin
J'aime lire à la _(biblioteka),bibliothèque
J'achète une nouvelle _(but),chaussure
Elle porte une belle _(sukienka),robe
Il porte un _(czapka),chapeau
J'ai perdu mes _(okulary),lunettes
Mon _(komputer) est cassé,ordinateur
C'est mon _(telefon),téléphone
J'aime écouter de la _(muzyka),musique
J'ai vu ce _(film) hier,film
Il aime _(grać) au football,jouer
Elle va _(spać) maintenant,dormir
Nous allons _(jeść),manger
Je veux _(pić) du jus,boire
Peux-tu _(widzieć) cela?,voir
Peux-tu _(słyszeć) cela?,entendre
Il sait _(mówić) en français,parler
Elle aime _(chodzić),marcher
Il ne peut pas _(biegać),courir
Nous aimons _(śmiać się),rire
Elle ne veut pas _(płakać),pleurer
Ce bâtiment est _(duży),grand
Ce chat est _(mały),petit
Il est très _(szybki),rapide
Le temps est _(wolny) aujourd'hui,lent
Il fait _(ciepły) aujourd'hui,chaud
Il fait très _(zimny) ce matin,froid
Ce gâteau est très _(dobry),bon
C'est un _(zły) plan,mauvais
Mon grand-père est _(stary),vieux
Ce chiot est si _(młody),jeune
Il est si _(piękny),beau
Ce dessin est _(brzydki),laide
Cette tour est _(wysoki),haut
Le plafond est _(niski),bas
La gare est _(daleko) d'ici,loin
L'école est _(blisko),proche
Bonne _(dzień),jour
Bonne _(noc),nuit
Bon _(ranek),matin
Bon _(wieczór),soir
Je l'ai vu _(wczoraj),hier
A _(dziś),aujourd'hui, je suis occupé
Je le ferai _(jutro),demain
C'est _(teraz),maintenant ou jamais
Je n'y suis jamais allé,_(nigdy),jamais
Elle vient _(czasami) ici,parfois
Je vais souvent à la plage,_(często),souvent
Je t'aime _(zawsze),toujours
